identificador_interno,expediente,fecha_presentacion,tipo,titulo_proyecto,titulo_oficial,resumen,area_tematica,autoria_sistema,firmantes_verificados,noticia_ya_existente,id_noticia_existente,id_noticia_publicada,titulo_periodistico_propuesto,bajada_propuesta,imagen_propuesta,fuente_imagen,url_proyecto,url_expediente,estado_generacion,estado_publicacion,observaciones
EXP-19884,19884,2026-04-29,Proyecto de Resolución,Seguridad vial en el puente Paso López,"Solicita al Poder Ejecutivo, por intermedio de la Dirección Provincial de Vialidad, la urgente inspección técnica, la adopción de medidas preventivas de seguridad vial y la ejecución de un plan de intervención integral sobre el puente “Paso López” emplazado en el río Corrientes sobre RP Nº 24.","Solicita al Poder Ejecutivo provincial que impulse medidas vinculadas con seguridad vial en el puente Paso López. La iniciativa procura atender la situación descripta en el expediente mediante la intervención de los organismos competentes y las acciones técnicas, administrativas o presupuestarias que correspondan.",Infraestructura,propio,Cecilia Gortari; Emiliano Fernández; Gustavo Canteros,false,,2026-04-29-seguridad-puente-paso-lopez,Piden medidas de seguridad vial para el puente Paso López,La resolución solicita una inspección técnica y acciones preventivas ante signos de erosión en una cabecera del puente sobre el río Corriente.,/assets/uploads/project-news/2026-04-29-19884-puente-paso-lopez.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,https://hcdcorrientes.gov.ar/expedientes/19884/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19884.pdf,contenido_e_imagen_validados,cargado_en_fuente,Publicación nueva cargada en la fuente del sitio.
EXP-19931,19931,2026-05-06,Proyecto de Ley,Programa provincial de deporte inclusivo y adaptado,Programa Provincial de Promoción del Deporte Inclusivo y Adaptado para Personas con Discapacidad.,"Propone programa provincial de deporte inclusivo y adaptado. La iniciativa establece un marco provincial para ordenar su aplicación, definir responsabilidades y brindar una respuesta institucional al problema abordado en el expediente. Sus mecanismos y alcances se encuentran desarrollados en el texto oficial.",Discapacidad,propio,Cecilia Gortari; Emiliano Fernández; Gustavo Canteros,false,,2026-05-06-deporte-inclusivo-adaptado,Proponen un programa provincial de deporte inclusivo y adaptado,"La iniciativa crea herramientas para ampliar la participación deportiva de personas con discapacidad y acompañar a instituciones, atletas y familias.",/assets/uploads/project-news/2026-05-06-19931-deporte-inclusivo.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,https://hcdcorrientes.gov.ar/expedientes/19931/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/05/Expte-19931.pdf,contenido_e_imagen_validados,cargado_en_fuente,Publicación nueva cargada en la fuente del sitio.
EXP-19966,19966,2026-05-13,Proyecto de Resolución,Alivio eléctrico para productores hortícolas y tabacaleros,"Solicita al Poder Ejecutivo que, a través de la Dirección Provincial de Energía de Corrientes (DPEC) y el Ministerio de Producción, instrumente un régimen excepcional de alivio en el pago del servicio eléctrico para pequeños productores hortícolas y tabacaleros de los departamentos de Goya, Lavalle y zonas de influencia.","Solicita al Poder Ejecutivo provincial que impulse medidas vinculadas con alivio eléctrico para productores hortícolas y tabacaleros. La iniciativa procura atender la situación descripta en el expediente mediante la intervención de los organismos competentes y las acciones técnicas, administrativas o presupuestarias que correspondan.",Infraestructura,propio,Cecilia Gortari; Emiliano Fernández; Gustavo Canteros,false,,2026-05-13-alivio-electrico-productores,Solicitan alivio eléctrico para productores hortícolas y tabacaleros,"La resolución propone un régimen excepcional y transitorio para pequeños productores de Goya, Lavalle y zonas de influencia que atraviesen una situación crítica.",/assets/uploads/project-news/2026-05-13-19966-alivio-electrico-productores.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,https://hcdcorrientes.gov.ar/expedientes/19966/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/05/Expte-19966.pdf,contenido_e_imagen_validados,cargado_en_fuente,Publicación nueva cargada en la fuente del sitio.
EXP-19967,19967,2026-05-13,Proyecto de Resolución,Accesibilidad universal en el Palacio Legislativo,"Solicita la adopción urgente de medidas de accesibilidad universal en el ingreso al Palacio Legislativo de la provincia, para personas con discapacidad o movilidad reducida.","Solicita al Poder Ejecutivo provincial que impulse medidas vinculadas con accesibilidad universal en el Palacio Legislativo. La iniciativa procura atender la situación descripta en el expediente mediante la intervención de los organismos competentes y las acciones técnicas, administrativas o presupuestarias que correspondan.",Discapacidad,propio,Cecilia Gortari; Emiliano Fernández; Gustavo Canteros,false,,2026-05-13-accesibilidad-palacio-legislativo,Impulsan accesibilidad universal en el Palacio Legislativo,El proyecto solicita soluciones seguras y permanentes para que personas con discapacidad o movilidad reducida puedan ingresar al edificio sin barreras.,/assets/uploads/project-news/2026-05-13-19967-accesibilidad-legislatura.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,https://hcdcorrientes.gov.ar/expedientes/19967/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/05/Expte-19967.pdf,contenido_e_imagen_validados,cargado_en_fuente,Publicación nueva cargada en la fuente del sitio.
EXP-19972,19972,2026-05-13,Proyecto de Ley,Sistema Provincial de Cobertura Sanitaria Rural,Sistema Provincial de Cobertura Sanitaria Rural.,"Propone sistema Provincial de Cobertura Sanitaria Rural. La iniciativa establece un marco provincial para ordenar su aplicación, definir responsabilidades y brindar una respuesta institucional al problema abordado en el expediente. Sus mecanismos y alcances se encuentran desarrollados en el texto oficial.",Salud,propio,Cecilia Gortari; Emiliano Fernández; Gustavo Canteros,false,,2026-05-13-cobertura-sanitaria-rural,Proponen un sistema provincial de cobertura sanitaria rural,"La iniciativa organiza una red de atención, prevención, medicamentos, comunicación y traslados para habitantes de parajes y zonas rurales de Corrientes.",/assets/uploads/project-news/2026-05-13-19972-salud-rural.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,https://hcdcorrientes.gov.ar/expedientes/19972/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/05/Expte-19972.pdf,contenido_e_imagen_validados,cargado_en_fuente,Publicación nueva cargada en la fuente del sitio.
EXP-19981,19981,2026-05-13,Proyecto de Declaración,Adhesión a la Marcha Federal Universitaria,De adhesión y acompañamiento institucional a la Marcha Federal Universitaria del 12 de mayo de 2026 y preocupación por el desfinanciamiento del sistema universitario nacional.,"Declara de interés legislativo adhesión a la Marcha Federal Universitaria. La iniciativa reconoce su relevancia social, cultural, educativa o comunitaria para la provincia y promueve su difusión institucional, de acuerdo con los antecedentes incorporados en el expediente.",Educación,propio,Cecilia Gortari; Emiliano Fernández; Gustavo Canteros,false,,2026-05-13-marcha-federal-universitaria,Impulsan la adhesión legislativa a la Marcha Federal Universitaria,El proyecto de declaración expresa acompañamiento institucional a la movilización en defensa de la universidad pública y su financiamiento en el país.,/assets/uploads/project-news/2026-05-13-19981-marcha-universitaria.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,https://hcdcorrientes.gov.ar/expedientes/19981/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/05/Expte-19981.pdf,contenido_e_imagen_validados,cargado_en_fuente,Publicación nueva cargada en la fuente del sitio.
EXP-20017,20017,2026-05-27,Proyecto de Resolución,Conectividad digital en zonas rurales y periurbanas,"Solicita al Poder Ejecutivo Nacional que, por intermedio del Ente Nacional de Comunicaciones (ENACOM) y de los organismos nacionales competentes, arbitre los medios necesarios para relevar, financiar y ejecutar obras de infraestructura de conectividad digital en zonas rurales, semi rurales y periurbanas de Corrientes con baja, deficiente o nula cobertura de telefonía móvil y de acceso a internet.","Solicita al Poder Ejecutivo provincial que impulse medidas vinculadas con conectividad digital en zonas rurales y periurbanas. La iniciativa procura atender la situación descripta en el expediente mediante la intervención de los organismos competentes y las acciones técnicas, administrativas o presupuestarias que correspondan.",Infraestructura,propio,Cecilia Gortari; Emiliano Fernández; Gustavo Canteros,false,,2026-05-27-conectividad-digital-rural,Piden ampliar la conectividad digital en zonas rurales y periurbanas,La resolución solicita acciones nacionales para mejorar internet y telefonía móvil en localidades y parajes correntinos con cobertura insuficiente.,/assets/uploads/project-news/2026-05-27-20017-conectividad-rural.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,https://hcdcorrientes.gov.ar/expedientes/20017/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/05/Expte-20017.pdf,contenido_e_imagen_validados,cargado_en_fuente,Publicación nueva cargada en la fuente del sitio.
EXP-20045,20045,2026-06-03,Proyecto de Ley,Gestión y fortalecimiento de caminos rurales,"Régimen Provincial de Gestión Integral, Conservación, Mejoramiento y Fortalecimiento de Caminos Rurales y Consorcios Camineros.","Propone gestión y fortalecimiento de caminos rurales. La iniciativa establece un marco provincial para ordenar su aplicación, definir responsabilidades y brindar una respuesta institucional al problema abordado en el expediente. Sus mecanismos y alcances se encuentran desarrollados en el texto oficial.",Infraestructura,propio,Cecilia Gortari; Emiliano Fernández; Gustavo Canteros,false,,2026-06-03-caminos-rurales,Presentaron un régimen integral para fortalecer los caminos rurales,"El proyecto de ley ordena la planificación, conservación y mejora de la red rural, con participación de Vialidad, municipios y consorcios camineros.",/assets/uploads/project-news/2026-06-03-20045-caminos-rurales.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,https://hcdcorrientes.gov.ar/expedientes/20045/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/05/Expte-20045.pdf,contenido_e_imagen_validados,cargado_en_fuente,Publicación nueva cargada en la fuente del sitio.
EXP-20046,20046,2026-06-03,Proyecto de Ley,Acompañamiento al empleo y emprendedurismo joven,"Ley de Acompañamiento al Empleo, la Formación y el Emprendedurismo Joven.","Propone acompañamiento al empleo y emprendedurismo joven. La iniciativa establece un marco provincial para ordenar su aplicación, definir responsabilidades y brindar una respuesta institucional al problema abordado en el expediente. Sus mecanismos y alcances se encuentran desarrollados en el texto oficial.",Seguridad,propio,Cecilia Gortari; Emiliano Fernández; Gustavo Canteros,false,,2026-06-03-empleo-emprendimiento-joven,"Impulsan empleo, capacitación y emprendimientos para jóvenes correntinos","La iniciativa crea un régimen provincial con formación certificada, prácticas protegidas, incentivos a la contratación y apoyo para proyectos productivos.",/assets/uploads/project-news/2026-06-03-20046-empleo-joven.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,https://hcdcorrientes.gov.ar/expedientes/20046/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/05/Expte-20046.pdf,contenido_e_imagen_validados,cargado_en_fuente,Publicación nueva cargada en la fuente del sitio.
EXP-20051,20051,2026-06-03,Proyecto de Ley,Emergencia alimentaria escolar,Ley de Emergencia Alimentaria Escolar.,"Propone emergencia alimentaria escolar. La iniciativa establece un marco provincial para ordenar su aplicación, definir responsabilidades y brindar una respuesta institucional al problema abordado en el expediente. Sus mecanismos y alcances se encuentran desarrollados en el texto oficial.",Niñez y Adolescencia,propio,Cecilia Gortari; Emiliano Fernández; Gustavo Canteros,false,,2026-06-03-emergencia-alimentaria-escolar,Impulsan una emergencia alimentaria para proteger los comedores escolares,"El proyecto establece medidas extraordinarias de continuidad, calidad, inocuidad y control para las prestaciones alimentarias de escuelas estatales.",/assets/uploads/project-news/2026-06-03-20051-emergencia-alimentaria-escolar.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,https://hcdcorrientes.gov.ar/expedientes/20051/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/05/Expte-20051.pdf,contenido_e_imagen_validados,cargado_en_fuente,Publicación nueva cargada en la fuente del sitio.
EXP-20074,20074,2026-06-17,Proyecto de Ley,Abogado del Niño,"Creación e Implementación de la Figura del Abogado del Niño, Niña y Adolescente en la Provincia de Corrientes.","Propone abogado del Niño. La iniciativa establece un marco provincial para ordenar su aplicación, definir responsabilidades y brindar una respuesta institucional al problema abordado en el expediente. Sus mecanismos y alcances se encuentran desarrollados en el texto oficial.",Niñez y Adolescencia,propio,Cecilia Gortari; Emiliano Fernández; Gustavo Canteros,false,,2026-06-17-abogado-del-nino,Proponen crear la figura del Abogado del Niño en Corrientes,"La iniciativa regula el patrocinio jurídico especializado de niñas, niños y adolescentes en procedimientos judiciales o administrativos que los afecten.",/assets/uploads/project-news/2026-06-17-20074-abogado-del-nino.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,https://hcdcorrientes.gov.ar/expedientes/20074/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/06/Expte-20074.pdf,contenido_e_imagen_validados,cargado_en_fuente,Publicación nueva cargada en la fuente del sitio.
EXP-20075,20075,2026-06-17,Proyecto de Ley,Transparencia de ofertas educativas,Régimen de Transparencia de Ofertas Educativas.,"Propone transparencia de ofertas educativas. La iniciativa establece un marco provincial para ordenar su aplicación, definir responsabilidades y brindar una respuesta institucional al problema abordado en el expediente. Sus mecanismos y alcances se encuentran desarrollados en el texto oficial.",Educación,propio,Cecilia Gortari; Emiliano Fernández; Gustavo Canteros,false,,2026-06-17-transparencia-ofertas-educativas,Buscan garantizar mayor transparencia en las ofertas educativas,"El proyecto crea un registro público para verificar la validez oficial de carreras, tecnicaturas, certificaciones y otras propuestas formativas.",/assets/uploads/project-news/2026-06-17-20075-transparencia-ofertas-educativas.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,https://hcdcorrientes.gov.ar/expedientes/20075/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/06/Expte-20075.pdf,contenido_e_imagen_validados,cargado_en_fuente,Publicación nueva cargada en la fuente del sitio.
