numero_expediente,fecha_presentacion,sesion,tipo,titulo_oficial,titulo_publico_propuesto,resumen_propuesto,comision_principal,comisiones_secundarias,area_tematica,autoria,responsable,estado_preparacion,estado_tramite,existe_en_panel,id_actual,id_destino,tiene_docx,tiene_expediente_pdf,url_fuente_oficial,url_pdf_oficial,nombre_pdf,accion_requerida,observaciones,estado_de_verificacion
19680,2026-03-11,1ª Reunión | 1ª Sesión Ordinaria,Resolución,"Solicita al Poder Ejecutivo la ejecución de trabajos de demarcación, señalización e iluminación en la ruta provincial 27, en el tramo comprendido entre su intersección con la ruta nacional 12 en la localidad de Saladas y la ciudad de Goya.",Señalización e iluminación de la Ruta Provincial 27,"Solicita al Poder Ejecutivo provincial que impulse medidas vinculadas con señalización e iluminación de la Ruta Provincial 27. La iniciativa procura atender la situación descripta en el expediente mediante la intervención de los organismos competentes y las acciones técnicas, administrativas o presupuestarias que correspondan.","Energía, Transporte, Obras Y Servicios Públicos",,Infraestructura,coautoria,Gonzalo,Presentado,En comisiones,True,P-0018,EXP-19680,True,True,https://hcdcorrientes.gov.ar/expedientes/19680/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/03/Expte-19680-1.pdf,EXPTE-19680-RESOLUCION-solicita-al-poder-ejecutivo-la-ejecucion-de-trabajos-de-demarcacion-se.pdf,actualizar_y_migrar,,verificado_fuente_y_pdf_oficial
19727,2026-03-18,2ª Reunión | 2ª Sesión Ordinaria,Resolución,Solicita al Poder Ejecutivo informe sobre cumplimiento del decreto 57 del 18 de diciembre de 2025 referido a consejeros asesores de la Gobernación.,Informe sobre consejeros asesores de la Gobernación,"Solicita al Poder Ejecutivo provincial información oficial sobre informe sobre consejeros asesores de la Gobernación. El pedido busca conocer la situación actual, las medidas adoptadas y las acciones previstas por los organismos competentes, conforme a los puntos desarrollados en el expediente.",Asuntos Constitucionales Y Legislación General,,Transparencia institucional,acompanado,Gonzalo,Presentado,En comisiones,True,P-0031,EXP-19727,False,True,https://hcdcorrientes.gov.ar/expedientes/19727/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/03/Expte-19727-1.pdf,EXPTE-19727-RESOLUCION-solicita-al-poder-ejecutivo-informe-sobre-cumplimiento-del-decreto-57.pdf,actualizar_y_migrar,,verificado_fuente_y_pdf_oficial
19728,2026-03-18,2ª Reunión | 2ª Sesión Ordinaria,Resolución,"Solicita al Poder Ejecutivo que en el marco de las celebraciones por el centenario de Ing. V. Virasoro, evalúe la factibilidad de priorizar la planificación, gestión y ejecución de obras de infraestructura estratégica para la ciudad.",Obras estratégicas para el centenario de Gobernador Virasoro,"Solicita al Poder Ejecutivo provincial que impulse medidas vinculadas con obras estratégicas para el centenario de Gobernador Virasoro. La iniciativa procura atender la situación descripta en el expediente mediante la intervención de los organismos competentes y las acciones técnicas, administrativas o presupuestarias que correspondan.","Energía, Transporte, Obras Y Servicios Públicos",,Infraestructura,acompanado,Gonzalo,Presentado,En comisiones,True,P-0030,EXP-19728,False,True,https://hcdcorrientes.gov.ar/expedientes/19728/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/03/Expte-19728-1.pdf,EXPTE-19728-RESOLUCION-solicita-al-poder-ejecutivo-que-en-el-marco-de-las-celebraciones-por-e.pdf,actualizar_y_migrar,,verificado_fuente_y_pdf_oficial
19730,2026-03-18,2ª Reunión | 2ª Sesión Ordinaria,Resolución,Solicita al Poder Ejecutivo informe de manera detallada sobre los resultados y compromisos asumidos en la misión oficial del Sr. Gobernador en la “Argentina Week” realizada en Nueva York (Estados Unidos).,Informe sobre resultados y compromisos de Argentina Week,"Solicita al Poder Ejecutivo provincial información oficial sobre informe sobre resultados y compromisos de Argentina Week. El pedido busca conocer la situación actual, las medidas adoptadas y las acciones previstas por los organismos competentes, conforme a los puntos desarrollados en el expediente.",Asuntos Constitucionales Y Legislación General,,Transparencia institucional,acompanado,Gonzalo,Presentado,En comisiones,True,P-0029,EXP-19730,False,True,https://hcdcorrientes.gov.ar/expedientes/19730/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/03/Expte-19730.pdf,EXPTE-19730-RESOLUCION-solicita-al-poder-ejecutivo-informe-de-manera-detallada-sobre-los-resu.pdf,actualizar_y_migrar,,verificado_fuente_y_pdf_oficial
19731,2026-03-18,2ª Reunión | 2ª Sesión Ordinaria,Resolución,Solicita al Poder Ejecutivo la reglamentación de la ley 6144 -Programa Educar para la Cooperación.,Reglamentación del programa Educar para la Cooperación,"Solicita al Poder Ejecutivo provincial que impulse medidas vinculadas con reglamentación del programa Educar para la Cooperación. La iniciativa procura atender la situación descripta en el expediente mediante la intervención de los organismos competentes y las acciones técnicas, administrativas o presupuestarias que correspondan.","Educación, Cultura, Ciencia Y Tecnología",,Educación,acompanado,Gonzalo,Presentado,En comisiones,True,P-0028,EXP-19731,False,True,https://hcdcorrientes.gov.ar/expedientes/19731/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/03/Expte-19731.pdf,EXPTE-19731-RESOLUCION-solicita-al-poder-ejecutivo-la-reglamentacion-de-la-ley-6144-programa.pdf,actualizar_y_migrar,,verificado_fuente_y_pdf_oficial
19732,2026-03-18,2ª Reunión | 2ª Sesión Ordinaria,Resolución,Dispone la colocación de una placa recordatoria de adhesión de la Honorable Cámara de Diputados al 65º aniversario de la creación de la Escuela Normal “Paula Albarracín de Sarmiento” de Gobernador Virasoro.,Placa por el aniversario de la Escuela Normal de Gobernador Virasoro,"Solicita al Poder Ejecutivo provincial que impulse medidas vinculadas con placa por el aniversario de la Escuela Normal de Gobernador Virasoro. La iniciativa procura atender la situación descripta en el expediente mediante la intervención de los organismos competentes y las acciones técnicas, administrativas o presupuestarias que correspondan.","Peticiones, Reglamento Y Poderes",,Educación,acompanado,Gonzalo,Presentado,En comisiones,True,P-0027,EXP-19732,False,True,https://hcdcorrientes.gov.ar/expedientes/19732/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/03/Expte-19732.pdf,EXPTE-19732-RESOLUCION-dispone-la-colocacion-de-una-placa-recordatoria-de-adhesion-de-la-hono.pdf,actualizar_y_migrar,,verificado_fuente_y_pdf_oficial
19753,2026-04-08,3ª Reunión | 3ª Sesión Ordinaria,Resolución,"Solicita al Poder Ejecutivo, la reapertura de una instancia de diálogo y negociación colectiva con las organizaciones sindicales representativas de los docentes.",Reapertura del diálogo con organizaciones docentes,"Solicita al Poder Ejecutivo provincial que impulse medidas vinculadas con reapertura del diálogo con organizaciones docentes. La iniciativa procura atender la situación descripta en el expediente mediante la intervención de los organismos competentes y las acciones técnicas, administrativas o presupuestarias que correspondan.","Legislación Del Trabajo, Previsión Y Seguridad Social",,Educación,coautoria,Gonzalo,Presentado,En comisiones,True,P-0037,EXP-19753,False,True,https://hcdcorrientes.gov.ar/expedientes/19753/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/03/Expte-19753.pdf,EXPTE-19753-RESOLUCION-solicita-al-poder-ejecutivo-la-reapertura-de-una-instancia-de-dialogo.pdf,actualizar_y_migrar,,verificado_fuente_y_pdf_oficial
19786,2026-04-08,3ª Reunión | 3ª Sesión Ordinaria,Resolución,Solicita al Poder Ejecutivo informe sobre los Aportes del Tesoro Nacional (ATN) recibidos por la Provincia de Corrientes en lo que va del corriente año y su destino.,Informe sobre Aportes del Tesoro Nacional recibidos por Corrientes,"Solicita al Poder Ejecutivo provincial información oficial sobre informe sobre Aportes del Tesoro Nacional recibidos por Corrientes. El pedido busca conocer la situación actual, las medidas adoptadas y las acciones previstas por los organismos competentes, conforme a los puntos desarrollados en el expediente.","Hacienda, Presupuesto E Impuestos",,Transparencia institucional,coautoria,Gonzalo,Presentado,En comisiones,True,P-0041,EXP-19786,True,True,https://hcdcorrientes.gov.ar/expedientes/19786/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19786.pdf,EXPTE-19786-RESOLUCION-solicita-al-poder-ejecutivo-informe-sobre-los-aportes-del-tesoro-nacio.pdf,actualizar_y_migrar,,verificado_fuente_y_pdf_oficial
19787,2026-04-08,3ª Reunión | 3ª Sesión Ordinaria,Resolución,"Solicita al Poder Ejecutivo que, por intermedio de los organismos competentes y de los representantes estatales ante el Banco de Corrientes S.A., remita informe detallado sobre la situación económico-financiera de la entidad.",Informe sobre la situación financiera del Banco de Corrientes,"Solicita al Poder Ejecutivo provincial información oficial sobre informe sobre la situación financiera del Banco de Corrientes. El pedido busca conocer la situación actual, las medidas adoptadas y las acciones previstas por los organismos competentes, conforme a los puntos desarrollados en el expediente.","Hacienda, Presupuesto E Impuestos",,Transparencia institucional,coautoria,Gonzalo,Presentado,En comisiones,True,P-0036,EXP-19787,True,True,https://hcdcorrientes.gov.ar/expedientes/19787/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19787.pdf,EXPTE-19787-RESOLUCION-solicita-al-poder-ejecutivo-que-por-intermedio-de-los-organismos-compe.pdf,actualizar_y_migrar,,verificado_fuente_y_pdf_oficial
19790,2026-04-08,3ª Reunión | 3ª Sesión Ordinaria,Resolución,"Solicita al Poder Ejecutivo Nacional que, por intermedio del Ministerio de Salud de la Nación y de la Secretaría Nacional de Discapacidad, regularice los pagos a prestadores de servicios para personas con discapacidad en el marco del Programa Federal Incluir Salud y del INSSJP – PAMI.",Regularización de pagos a prestadores de discapacidad,"Solicita al Poder Ejecutivo provincial que impulse medidas vinculadas con regularización de pagos a prestadores de discapacidad. La iniciativa procura atender la situación descripta en el expediente mediante la intervención de los organismos competentes y las acciones técnicas, administrativas o presupuestarias que correspondan.",Protección De Personas Con Discapacidad,,Discapacidad,coautoria,Gonzalo,Presentado,Aprobado,True,P-0044,EXP-19790,True,False,https://hcdcorrientes.gov.ar/expedientes/19790/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19790-1.pdf,EXPTE-19790-RESOLUCION-solicita-al-poder-ejecutivo-nacional-que-por-intermedio-del-ministerio.pdf,actualizar_y_migrar,La ficha oficial presenta una anomalía en el campo de autores; el expediente descargado fue verificado.,verificado_fuente_y_pdf_oficial
19791,2026-04-08,3ª Reunión | 3ª Sesión Ordinaria,Resolución,Solicita al Poder Ejecutivo gestione ante el Poder Ejecutivo Nacional y el Ministerio de Capital Humano de la Nación la continuidad o prórroga del Programa Volver al Trabajo.,Continuidad del programa Volver al Trabajo,"Solicita al Poder Ejecutivo provincial que impulse medidas vinculadas con continuidad del programa Volver al Trabajo. La iniciativa procura atender la situación descripta en el expediente mediante la intervención de los organismos competentes y las acciones técnicas, administrativas o presupuestarias que correspondan.","Legislación Del Trabajo, Previsión Y Seguridad Social",,Seguridad,coautoria,Gonzalo,Presentado,En comisiones,True,P-0045,EXP-19791,True,True,https://hcdcorrientes.gov.ar/expedientes/19791/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19791.pdf,EXPTE-19791-RESOLUCION-solicita-al-poder-ejecutivo-gestione-ante-el-poder-ejecutivo-nacional.pdf,actualizar_y_migrar,La ficha oficial presenta una anomalía en el campo de autores; el expediente descargado fue verificado.,verificado_fuente_y_pdf_oficial
19792,2026-04-08,3ª Reunión | 3ª Sesión Ordinaria,Resolución,"Solicita informe al Poder Ejecutivo sobre la situación de los prestadores de servicios para personas con discapacidad, pagos adeudados y gestiones realizadas en el marco del Programa Federal Incluir Salud.",Informe sobre pagos a prestadores de discapacidad,"Solicita al Poder Ejecutivo provincial información oficial sobre informe sobre pagos a prestadores de discapacidad. El pedido busca conocer la situación actual, las medidas adoptadas y las acciones previstas por los organismos competentes, conforme a los puntos desarrollados en el expediente.",Protección De Personas Con Discapacidad,Salud Pública,Discapacidad,coautoria,Gonzalo,Presentado,En comisiones,True,P-0046,EXP-19792,True,True,https://hcdcorrientes.gov.ar/expedientes/19792/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19792.pdf,EXPTE-19792-RESOLUCION-solicita-informe-al-poder-ejecutivo-sobre-la-situacion-de-los-prestado.pdf,actualizar_y_migrar,La ficha oficial presenta una anomalía en el campo de autores; el expediente descargado fue verificado.,verificado_fuente_y_pdf_oficial
19793,2026-04-08,3ª Reunión | 3ª Sesión Ordinaria,Resolución,"Insta al Poder Ejecutivo, a través del Ministerio de Educación y de los organismos competentes en materia de clasificación docente, evalúe e incorpore la categoría de “Antecedentes Meritorios Institucionales” en el régimen de valoración de títulos y antecedentes docentes.",Antecedentes meritorios en la valoración docente,"Solicita al Poder Ejecutivo provincial que impulse medidas vinculadas con antecedentes meritorios en la valoración docente. La iniciativa procura atender la situación descripta en el expediente mediante la intervención de los organismos competentes y las acciones técnicas, administrativas o presupuestarias que correspondan.","Educación, Cultura, Ciencia Y Tecnología",,Educación,coautoria,Gonzalo,Presentado,En comisiones,True,P-0051,EXP-19793,True,False,https://hcdcorrientes.gov.ar/expedientes/19793/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19793-1.pdf,EXPTE-19793-RESOLUCION-insta-al-poder-ejecutivo-a-traves-del-ministerio-de-educacion-y-de-los.pdf,actualizar_y_migrar,,verificado_fuente_y_pdf_oficial
19796,2026-04-08,3ª Reunión | 3ª Sesión Ordinaria,Resolución,"Invita a una sesión especial o acto de reconocimiento, con el objetivo de honrar el centenario de Gobernador Ing. Valentín Virasoro.",Sesión especial por el centenario de Gobernador Virasoro,"Solicita al Poder Ejecutivo provincial que impulse medidas vinculadas con sesión especial por el centenario de Gobernador Virasoro. La iniciativa procura atender la situación descripta en el expediente mediante la intervención de los organismos competentes y las acciones técnicas, administrativas o presupuestarias que correspondan.","Educación, Cultura, Ciencia Y Tecnología",,Educación,acompanado,Gonzalo,Presentado,En comisiones,False,,EXP-19796,False,False,https://hcdcorrientes.gov.ar/expedientes/19796/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19796.pdf,EXPTE-19796-RESOLUCION-invita-a-una-sesion-especial-o-acto-de-reconocimiento-con-el-objetivo.pdf,crear,,verificado_fuente_y_pdf_oficial
19804,2026-04-08,3ª Reunión | 3ª Sesión Ordinaria,Resolución,"Solicita al Poder Ejecutivo, a través del Ministerio de Obras Públicas, la pavimentación de las RP Nº 40 y 41.",Pavimentación de las Rutas Provinciales 40 y 41,"Solicita al Poder Ejecutivo provincial que impulse medidas vinculadas con pavimentación de las Rutas Provinciales 40 y 41. La iniciativa procura atender la situación descripta en el expediente mediante la intervención de los organismos competentes y las acciones técnicas, administrativas o presupuestarias que correspondan.","Energía, Transporte, Obras Y Servicios Públicos",,Infraestructura,acompanado,Gonzalo,Presentado,En comisiones,False,,EXP-19804,False,False,https://hcdcorrientes.gov.ar/expedientes/19804/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19804.pdf,EXPTE-19804-RESOLUCION-solicita-al-poder-ejecutivo-a-traves-del-ministerio-de-obras-publicas.pdf,crear,,verificado_fuente_y_pdf_oficial
19831,2026-04-15,4ª Reunión | 4ª Sesión Ordinaria,Resolución,"Solicita al Poder Ejecutivo, que por intermedio del Instituto de Vivienda de Corrientes (INVICO), adopte medidas respecto del predio correspondiente al desarrollo de 180 lotes con servicios, del ex Programa Procrear en la ciudad de Goya.",Continuidad de lotes con servicios en Goya,"Solicita al Poder Ejecutivo provincial que impulse medidas vinculadas con continuidad de lotes con servicios en Goya. La iniciativa procura atender la situación descripta en el expediente mediante la intervención de los organismos competentes y las acciones técnicas, administrativas o presupuestarias que correspondan.","Energía, Transporte, Obras Y Servicios Públicos",,Educación,coautoria,Gonzalo,Presentado,En comisiones,True,P-0055,EXP-19831,True,False,https://hcdcorrientes.gov.ar/expedientes/19831/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19831-1.pdf,EXPTE-19831-RESOLUCION-solicita-al-poder-ejecutivo-que-por-intermedio-del-instituto-de-vivien.pdf,actualizar_y_migrar,,verificado_fuente_y_pdf_oficial
19836,2026-04-15,4ª Reunión | 4ª Sesión Ordinaria,Resolución,"Solicita al Poder Ejecutivo, retome las gestiones ante el Gobierno Nacional para la ejecución de las obras de infraestructura necesarias que permitan que la provincia de Corrientes cuente con acceso a la red de gas natural.",Acceso de Corrientes a la red de gas natural,"Solicita al Poder Ejecutivo provincial que impulse medidas vinculadas con acceso de Corrientes a la red de gas natural. La iniciativa procura atender la situación descripta en el expediente mediante la intervención de los organismos competentes y las acciones técnicas, administrativas o presupuestarias que correspondan.","Energía, Transporte, Obras Y Servicios Públicos",,Infraestructura,acompanado,Gonzalo,Presentado,En comisiones,False,,EXP-19836,False,False,https://hcdcorrientes.gov.ar/expedientes/19836/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19836-1.pdf,EXPTE-19836-RESOLUCION-solicita-al-poder-ejecutivo-retome-las-gestiones-ante-el-gobierno-naci.pdf,crear,,verificado_fuente_y_pdf_oficial
19838,2026-04-15,4ª Reunión | 4ª Sesión Ordinaria,Resolución,"Solicita al Poder Ejecutivo, informe sobre pauta publicitaria en los períodos 2025-2026.",Informe sobre pauta publicitaria en los períodos 2025-2026,"Solicita al Poder Ejecutivo provincial información oficial sobre informe sobre pauta publicitaria en los períodos 2025-2026. El pedido busca conocer la situación actual, las medidas adoptadas y las acciones previstas por los organismos competentes, conforme a los puntos desarrollados en el expediente.","Hacienda, Presupuesto E Impuestos",,Transparencia institucional,acompanado,Gonzalo,Presentado,En comisiones,False,,EXP-19838,False,False,https://hcdcorrientes.gov.ar/expedientes/19838/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19838-1.pdf,EXPTE-19838-RESOLUCION-solicita-al-poder-ejecutivo-informe-sobre-pauta-publicitaria-en-los-pe.pdf,crear,,verificado_fuente_y_pdf_oficial
19839,2026-04-15,4ª Reunión | 4ª Sesión Ordinaria,Resolución,"Solicita al Poder Ejecutivo, a través del Ministerio de Obras y Servicios Públicos y la Dirección Provincial de Vialidad, la repavimentación de la RP Nº 24, en el tramo comprendido entre sus empalmes con la RN Nº 12 y la RN Nº 119.",Repavimentación de la Ruta Provincial 24,"Solicita al Poder Ejecutivo provincial que impulse medidas vinculadas con repavimentación de la Ruta Provincial 24. La iniciativa procura atender la situación descripta en el expediente mediante la intervención de los organismos competentes y las acciones técnicas, administrativas o presupuestarias que correspondan.","Energía, Transporte, Obras Y Servicios Públicos",,Infraestructura,acompanado,Gonzalo,Presentado,En comisiones,False,,EXP-19839,False,False,https://hcdcorrientes.gov.ar/expedientes/19839/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19839-1.pdf,EXPTE-19839-RESOLUCION-solicita-al-poder-ejecutivo-a-traves-del-ministerio-de-obras-y-servici.pdf,crear,,verificado_fuente_y_pdf_oficial
19840,2026-04-15,4ª Reunión | 4ª Sesión Ordinaria,Resolución,"Solicita al Poder Ejecutivo, informe sobre la asignación, distribución, ejecución y rendición de los fondos dispuestos por el decreto 369/26, destinado al mantenimiento de edificios escolares en municipios del interior de la Provincia.",Informe sobre fondos del Decreto 369/26 para escuelas,"Solicita al Poder Ejecutivo provincial información oficial sobre informe sobre fondos del Decreto 369/26 para escuelas. El pedido busca conocer la situación actual, las medidas adoptadas y las acciones previstas por los organismos competentes, conforme a los puntos desarrollados en el expediente.","Educación, Cultura, Ciencia Y Tecnología","Energía, Transporte, Obras Y Servicios Públicos",Educación,coautoria,Gonzalo,Presentado,En comisiones,True,P-0056,EXP-19840,True,False,https://hcdcorrientes.gov.ar/expedientes/19840/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19840-1.pdf,EXPTE-19840-RESOLUCION-solicita-al-poder-ejecutivo-informe-sobre-la-asignacion-distribucion-e.pdf,actualizar_y_migrar,,verificado_fuente_y_pdf_oficial
19859,2026-04-29,5ª Reunión | 5ª Sesión Ordinaria,Resolución,Solicita al Poder Ejecutivo disponga la apertura de una mesa de diálogo institucional con beneficiarios del Programa Nacional “Volver al Trabajo” de Corrientes.,Mesa de diálogo para beneficiarios de Volver al Trabajo,"Solicita al Poder Ejecutivo provincial que impulse medidas vinculadas con mesa de diálogo para beneficiarios de Volver al Trabajo. La iniciativa procura atender la situación descripta en el expediente mediante la intervención de los organismos competentes y las acciones técnicas, administrativas o presupuestarias que correspondan.","Legislación Del Trabajo, Previsión Y Seguridad Social",Políticas Sociales,Seguridad,coautoria,Gonzalo,Presentado,En comisiones,False,,EXP-19859,False,False,https://hcdcorrientes.gov.ar/expedientes/19859/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19859.pdf,EXPTE-19859-RESOLUCION-solicita-al-poder-ejecutivo-disponga-la-apertura-de-una-mesa-de-dialog.pdf,crear,La ficha oficial presenta una anomalía en el campo de autores; el expediente descargado fue verificado.,verificado_fuente_y_pdf_oficial
19874,2026-04-29,5ª Reunión | 5ª Sesión Ordinaria,Resolución,Insta a las Presidencias de ambas Cámaras Legislativas a dar cumplimiento al procedimiento de la elección del titular de la Defensoría del Pueblo y la conformación de la Comisión Bicameral Permanente.,Elección del titular de la Defensoría del Pueblo,"Solicita al Poder Ejecutivo provincial que impulse medidas vinculadas con elección del titular de la Defensoría del Pueblo. La iniciativa procura atender la situación descripta en el expediente mediante la intervención de los organismos competentes y las acciones técnicas, administrativas o presupuestarias que correspondan.","Peticiones, Reglamento Y Poderes",,Transparencia institucional,acompanado,Gonzalo,Presentado,En comisiones,False,,EXP-19874,False,False,https://hcdcorrientes.gov.ar/expedientes/19874/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19874-1.pdf,EXPTE-19874-RESOLUCION-insta-a-las-presidencias-de-ambas-camaras-legislativas-a-dar-cumplimie.pdf,crear,,verificado_fuente_y_pdf_oficial
19875,2026-04-29,5ª Reunión | 5ª Sesión Ordinaria,Resolución,"Solicita al Poder Ejecutivo, a través del Ministerio de Obras y Servicios Públicos y la Dirección Provincial de Vialidad, la pavimentación de la RP Nº 68 en el tramo comprendido entre su intersección con la RN Nº 14 (Gobernador Virasoro) y Garruchos.",Pavimentación de la Ruta Provincial 68,"Solicita al Poder Ejecutivo provincial que impulse medidas vinculadas con pavimentación de la Ruta Provincial 68. La iniciativa procura atender la situación descripta en el expediente mediante la intervención de los organismos competentes y las acciones técnicas, administrativas o presupuestarias que correspondan.","Energía, Transporte, Obras Y Servicios Públicos","Hacienda, Presupuesto E Impuestos",Infraestructura,acompanado,Gonzalo,Presentado,En comisiones,False,,EXP-19875,False,False,https://hcdcorrientes.gov.ar/expedientes/19875/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19875-1.pdf,EXPTE-19875-RESOLUCION-solicita-al-poder-ejecutivo-a-traves-del-ministerio-de-obras-y-servici.pdf,crear,,verificado_fuente_y_pdf_oficial
19876,2026-04-29,5ª Reunión | 5ª Sesión Ordinaria,Resolución,"Solicita al Poder Ejecutivo, arbitre las gestiones necesarias ante el Gobierno Nacional, la Secretaría de Energía de la Nación y el Consejo Federal de Energía Eléctrica, para la reactivación, financiamiento y concreción de la obra de interconexión eléctrica de 132 Kv “Cierre del Anillo Noreste”, tramo Gobernador Virasoro (Corrientes) – Apóstoles (Misiones).",Interconexión eléctrica entre Virasoro y Apóstoles,"Solicita al Poder Ejecutivo provincial que impulse medidas vinculadas con interconexión eléctrica entre Virasoro y Apóstoles. La iniciativa procura atender la situación descripta en el expediente mediante la intervención de los organismos competentes y las acciones técnicas, administrativas o presupuestarias que correspondan.","Energía, Transporte, Obras Y Servicios Públicos",,Infraestructura,acompanado,Gonzalo,Presentado,En comisiones,False,,EXP-19876,False,False,https://hcdcorrientes.gov.ar/expedientes/19876/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19876-1.pdf,EXPTE-19876-RESOLUCION-solicita-al-poder-ejecutivo-arbitre-las-gestiones-necesarias-ante-el-g.pdf,crear,,verificado_fuente_y_pdf_oficial
19878,2026-04-29,5ª Reunión | 5ª Sesión Ordinaria,Resolución,"Solicita al Poder Ejecutivo, a través del Ministerio de Educación, la realización de acciones educativas conmemorativas por los 40 años de la sanción de la ley 4061.",Acciones educativas por los 40 años de la Ley 4061,"Solicita al Poder Ejecutivo provincial que impulse medidas vinculadas con acciones educativas por los 40 años de la Ley 4061. La iniciativa procura atender la situación descripta en el expediente mediante la intervención de los organismos competentes y las acciones técnicas, administrativas o presupuestarias que correspondan.","Educación, Cultura, Ciencia Y Tecnología",,Educación,acompanado,Gonzalo,Presentado,En comisiones,False,,EXP-19878,False,False,https://hcdcorrientes.gov.ar/expedientes/19878/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19878-1.pdf,EXPTE-19878-RESOLUCION-solicita-al-poder-ejecutivo-a-traves-del-ministerio-de-educacion-la-re.pdf,crear,,verificado_fuente_y_pdf_oficial
19879,2026-04-29,5ª Reunión | 5ª Sesión Ordinaria,Resolución,"Solicita al Ministerio de Educación, establezca el no cómputo de inasistencia a los docentes y autoridades educativas escolares, del nivel primario y secundario, que participen del XXVII ENCACE en la provincia de San Luis.",Inasistencias docentes por participación en el ENCACE,"Solicita al Poder Ejecutivo provincial que impulse medidas vinculadas con inasistencias docentes por participación en el ENCACE. La iniciativa procura atender la situación descripta en el expediente mediante la intervención de los organismos competentes y las acciones técnicas, administrativas o presupuestarias que correspondan.","Educación, Cultura, Ciencia Y Tecnología","Legislación Del Trabajo, Previsión Y Seguridad Social",Educación,acompanado,Gonzalo,Presentado,En comisiones,False,,EXP-19879,False,False,https://hcdcorrientes.gov.ar/expedientes/19879/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19879-1.pdf,EXPTE-19879-RESOLUCION-solicita-al-ministerio-de-educacion-establezca-el-no-computo-de-inasis.pdf,crear,,verificado_fuente_y_pdf_oficial
19881,2026-04-29,5ª Reunión | 5ª Sesión Ordinaria,Resolución,"Solicita al Poder Ejecutivo Nacional que, por intermedio del Ministerio de Seguridad de la Nación, disponga la regularización, normalización y efectiva transferencia de los recursos previstos por la ley nacional 25054 -Ley del Bombero Voluntario-.",Transferencias nacionales para bomberos voluntarios,"Solicita al Poder Ejecutivo provincial que impulse medidas vinculadas con transferencias nacionales para bomberos voluntarios. La iniciativa procura atender la situación descripta en el expediente mediante la intervención de los organismos competentes y las acciones técnicas, administrativas o presupuestarias que correspondan.","Hacienda, Presupuesto E Impuestos",,Seguridad,coautoria,Gonzalo,Presentado,En comisiones,True,P-0062,EXP-19881,True,False,https://hcdcorrientes.gov.ar/expedientes/19881/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19881.pdf,EXPTE-19881-RESOLUCION-solicita-al-poder-ejecutivo-nacional-que-por-intermedio-del-ministerio.pdf,actualizar_y_migrar,,verificado_fuente_y_pdf_oficial
19883,2026-04-29,5ª Reunión | 5ª Sesión Ordinaria,Resolución,"Solicita al Poder Ejecutivo que, por intermedio del Ministerio de Educación, informe sobre protocolos vigentes de prevención y actuación ante amenazas, sospecha o detección de armas y manifestaciones de violencia digital, en establecimientos educativos.",Protocolos escolares ante amenazas y hechos de violencia,"Solicita al Poder Ejecutivo provincial información oficial sobre protocolos escolares ante amenazas y hechos de violencia. El pedido busca conocer la situación actual, las medidas adoptadas y las acciones previstas por los organismos competentes, conforme a los puntos desarrollados en el expediente.","Educación, Cultura, Ciencia Y Tecnología",Seguridad Y Servicios Penitenciarios,Educación,coautoria,Gonzalo,Presentado,En comisiones,True,P-0065,EXP-19883,True,False,https://hcdcorrientes.gov.ar/expedientes/19883/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19883.pdf,EXPTE-19883-RESOLUCION-solicita-al-poder-ejecutivo-que-por-intermedio-del-ministerio-de-educa.pdf,actualizar_y_migrar,,verificado_fuente_y_pdf_oficial
